@elhamjahani96 @sa_ra_jb;_faezeh_jpz
@sadafge;yasamange
@sadafge 😮😮😮😮;yasamange
Kheyli jalebe 😄😄;nahid_barati
@_faezeh_jpz صااااف 😄😊😊;elhamjahani96
@asaloliyazadeh @afsane_joyeghbal @ensieeghbal;anna.eghbal
@mona_et;asaloliyazadeh
عطر كيت اسپيد و كلوين كلاين در فروشگاه موجود نيست;ab_mmb
@ab_mmb دوست عزیز هیچ فروشگاهی نمی تونه همه ی برندهای عطری و یا آرایشی رو داشته باشه.;safirstores
@nazanin.keyhanpour;phdz1
@phdz1 sharp diagonal, u?;nazanin.keyhanpour
@nazanin.keyhanpour me ToO😆;phdz1
@seeelmmaaa;faaranak_rz
@_armaghaan;nilllllly
@paniz_.ef;nilllllly
@moh3nd;masoudx8
@s.sheykhiyanpour @s_h_m_a_t @e.s.amini @asgarielena @monafard11 @_mehrbanoo__;miinafard
@sarasheikhi733 @mitra.havestin;amirmohsenn
@saramotaghi @zeinabostad اينم ادامش😂😂😂😂;m.masoombeigi
😂😂😂😂 @miinafard;s.sheykhiyanpour
@amirmohsenn 😆😆😆😆;mitra.havestin
@virtual.boys 😁😁😁;minoojane
@ardalanst @aliaminii @alirezatasdighi @fery866 @pegooshi @tannazdezfouli 😅😅😅;saragoshi
@aslansharifhoor;naghi_percussion
فقط عطر خودم;virtual.boys
@aliyoumoustapha best commercial ever! 🙈😂;asiehasefi
😂😂😂😂😂;tannazdezfouli
@saba.eko @zhrhsntvssl @rahimisaeide 😂😂😂😂;mokarimaryam
@mokarimaryam loooool;zhrhsntvssl
@zsjdpr @hadiyeh91 @_nargesshahbazi_ @mina.13700;zhrhsntvssl
@zhrhsntvssl  loooooool;zsjdpr
@ali1987sh2;shiva_khosravy
Hot, the favorite person in your life will love it. Newest at the Guerlain counter.;guerlain_gorgeous
@miinafard 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂;_mehrbanoo__
@cyan.ads;fery1394
@farhang_zobdeh  to ino dari?😂😂;mary.lucyy
@mary.lucyy na azizam man yeki dgasho daram vali fk konam az ye line an:));farhang_zobdeh
لانكوم بى نظيره;maryjalali
👍🏻È;peyvandrad
@safirstores gheymat mishe bedin?;romina_lpo
@safirstores midinighte tresor mojood darin?;shivabanaeipour
@safirstores key shoabe golestan miare..?;mehrazasadi
lancome is the best, specially "midnight rose"🌹🌹🌹;fatemeh_arezi
لاین ترزور از بهترین کارای لنکوم هست وبین همشون همین نسخه لانوییت 👌👍👏;smt_v10
@negaaariiin;poriasafa
بين مدنايت رز و لاويبله البته اين نظر منه;beauty_land_parfum
@poriasafa اومد براي ما؟؟;negaaariiin
@negaaariiin na vali fk konam emruz biad;poriasafa
@parisa_sy_ بله، ٧٥ ميل٤٦٥٠٠٠ تومان و ٥٠ ميل ٣٦٦٠٠٠ تومان;safirstores
@shivabanaeipour بله ٧٥ ميلشو موجود داريم;safirstores
@mehrazasadi فردا مي تونيد در گلستان اين محصول رو خريداري كنيد;safirstores
@smt_v10 la nuit migin az lavie... midnight behtare ? akhe man har dotaro daram va razi hastam ama badam nemiad in kare jadidesham bekharam;shivabanaeipour
@safirstores mamnun kharidam az shobe kaspian mod , kheyli ham razi hastam , la nuit ham mandegarish o pakhshe boosh mesle lavie.. va  midnight hast ???;shivabanaeipour
@shivabanaeipour طبق نظرهايي كه داده شده اين عطر بين لاويه بل و ميدنايت .البته نميه عطر هارو اينجوري دسته بندي كدر ولي شباهت بين اين عطرها هست;safirstores
@safirstores mamunam az rahnamaeitoon;shivabanaeipour
@shivabanaeipour خواهش مي كنم عزيزم;safirstores
@shivabanaeipour شیوا خانوم تو دنیای عطر و ادکلن هیچکس نمیتونه یه عطرو برتر از دیگری بدونه مگر تو خلوص و کیفیت رایحه ، چون پسند رایحه یک امر کاملا سلیقه ایی هستش ، از نظر رایحه لاویست و لانویت تقریبا تو یه سبک بو هستن با این تفاوت که لاویست یه کاره وانیلی کاراملی هست اما تو لانویت وانیل کمرنگه و بجاش بخور و قهوه اضافه شده که همین باعث سنگینتر شدن رایحه ش شده;smt_v10
@shivabanaeipour قصه میدنایت هم متفاوت از دو کار قبلیه ، ترکیب تمشک و رز به همراه وانیل یه کاره رمانتیک و شیک رو بوجود آوردن در صورتیکه دوتا کاره قبلی روایح خوشمزه و شیک دارن;smt_v10
@smt_v10 mersi 😊;shivabanaeipour
@mozhdehhsn nagam cheghad khoobe 😍👌🏼;poonehrhm
pakhshe bu va mandegarie midnight chetorie?mishe kasayi ke midunan mano rahnamayi konan?tnx;shima.shakiba67
@bahar6250 عزيزم عطر خاص كه زياد هست،اطلاعات شما ناقصه مانند قيمت و يا اينكه قبلا چه عطر هاي رو استفاده مي گرديد و از چه نوع بويي خوشتون مي ياد مثل رايحه ي گل ها يا ميوه ها يا نه رايحه ي شيرين و ....;safirstores
@safirstores خب قیمتش مهم نیس،،،قبلا هم عطر زیاداستفاده کردم ولی خب هرعطریو یه بار زدم چون خوشم نیومده......رایحه گلها ....حالا اگ چن تاعطرمعرفی کنین ممنون میشم:-):-):-):-):-);-):-):-):-):-):-):-):-):-):-):-);mahya_zand4
میدنایت رز پخش و ماندگاری متوسط رو به پایین داره برای من که اینطور بود;maanaa2014
به نظر من خود نسخه اولیه ترزور با رایحه غالب هلو محشرترین و کلاسیکترین عطر از این سری هست;maanaa2014
@mahya_banoo4 عزيزم از برندهاي ادس د ونوستاس oeillet bengale و iris nazarena از برند مارلي عطر دارسي;safirstores
@mahya_banoo4 واگر عطر هاي خاص تر مد نظرتون هست به فروشگاه پالاس ما كه در ارگ تجاري تجريش هست هم مي تونيد مراجعه كنيد كه فقط عطر هاي خاص به فروش ميرسه;safirstores
@arghavan.z1990 in page ro goftam;__silvereyed__
@mahkaameh.ramezani;mery_saadaty
@zahrahadavand;soodehb7
@sajaddejkhim97;_elham97_
میشه قیمت هم بدید؟؟ممنون.;datiss_senatorr
@sohrabi6008 تو پست بعدي يك محصول رو معرفي مي كنيم و قيمت هم مي گذاريم;safirstores
@saharnaz.too;sinaatorabi70
@kearrcosmetics;reihanet
شما محصولات clinique هم دارید؟محصولات بهداشتی مثل محلول پاک کننده صورت؟;_nushin
@nushin_shad نه عزيزم كلينيك نداريم;safirstores
@shararehmh;shahrzood
@mahsa_diy;saliiix
@mahsa.ghz @ahmsaina;saminkh
قیمت کرم سبز رنگ کلینیک چنده؟;honey_13695
@honey_13695 عزيزم ما محصولات كلينيك نداريم اين فقط يك عكس براي توضيح مطلب بود;safirstores
@taiebe.br;fatemehbrz
@fatemehbrz moshkelet hal shod?;taiebe.br
@taiebe.br :-D;fatemehbrz
@shimash6;elhaminaa
@safirstores  bbcream estee lauder ro darid?;dbaopal
@dbaopal نه این برند رو موجود نداریم;safirstores
@safirstores cream dd che brandi darid?;ranagh87
@ranagh87 فعلا كرم هاي دي دي زيادي عرضه نشدند;safirstores
@moniro0 @shining_ruby;hananeh_khn
👍😏;ehsun89
@mahsaa93m roozet mobarak doki😛😄;at_h03eyni
@raminalipourt @royalipour rozeton mobarak cousin haye azizam 💋❤️💋❤️;kimiakitten
@mjdgmr;farshad64
@alirezakhansamadi;farshad64
@afshooon;farshad64
@rezamahdavian;farshad64
@hodi_hodi;nutriga_kourosh
@azar_s  mersi eshgh 😍❤;2l0vebirds2
Masulate nars va naked ro darin? Kodum shobe?;_.el._m
@azar_s merc azize delam 😍🌹;mahsa0moon
@at_h03eyni mrcii aziiizam roooze toam mobaraaakk;mahsaa93m
Roozet mobarak mona jannn. @mona.vala;hamidgram
@nutriga_kourosh  ممنون از لطف شما;hodi_hodi
@hamidgram مرسي :);mona.vala
@_.el._m  عزیزم نداریم این محصولات رو;safirstores
@farshad64 merciiiii :);afshooon
@nassim2665;ghazalemob
عالیه👌👌👌;momi_marmar
@zzohrevandi;za.mhds.a
Chera daghe dele mano taze mikoni?! 😔 @za.mhds.ay;zzohrevandi
اون سفیده رو چرا نمیارید؟؟؟؟;_poursarraf
@1394mell;smhd_rzv
@ms.srf عزيزم عطرها بر اساس سياست هاي برندها و كمپاني هاي واردكننده، وارد ايران ميشه .;safirstores
@suzanne_mohamadian;mariahmohammadian
خوش بوست;mah.ghas
عالیه 👌;mry_mtd
👌👌👍👍👍👍🌸🌸🌸🌸;elhamaghilii
عااااليه😘😘👏👏👏👏;shirinhesabiiii
@monaaaaaaeeee عزيزم ١٠٠ ميلش ٣٤٩٠٠٠ تومان و ٥٠ ميلش ٢٤٦٠٠٠ تومان;safirstores
@esmat_farid 😊;saba.7030
@tayebe.cheraqi 😊;saba.7030
@miinalz bira bakh birdan intikhab ela taza atrlar chikhip;annaamjadi
@annaamjadi 5Shanbe berim lale atr enteXab konim bad man eSm bedam biare baramun 🙈;miinalz
@miinalz bia pv;annaamjadi
میبخشید شما عطر bossمدل femme رو دارید؟;raheleh.saidi
سلام قیمتش چنده ارمانی;sarafatemi59
@raheleh.saidi عزیزم ببخشید کامنتتون رو ندیده بودم نه نداریم;safirstores
@sarafatemi59 قیمت سی ادو توالت 100 میل 349000 و 50 میل 246000 تومان;safirstores
شعبه مهناز دارین  عطر رو ؟;sarafatemi59
@zohre_67 @fatemeeraad;saraaraaad
@lilip_93 @shimmap;monaesslami
اشتباهه ، ایران با اختلاف فاحشی اوله;smt_v10
@smt_v10 ظاهرا اينجوري به نظر ميرسه ولي آمار و ارقام چيز ديگه ميگه D:;safirstores
ما چیزی رو که با چشم خودمون دیدیمو میبینیمو باور میکنیم ، من آمار دیگه ایی رو دیده بودم که بعداز هند ما رتبه دوم رو داریم ، اگه یه مسابقاتی میذاشتن تو المپیک واسه آرایش دخترای ایرانی تو تمام رده های سنی مقام اول تا سوم رو قبضه میکردن 😃;smt_v10
راستی ادمین جان مدیریت تصمیم نداره قیمتای فعلی رو تغییر بده ؟ جاهای دیگه تا ۳۰٪ پایین اومده;smt_v10
@smt_v10 كاملأ موافقم،افزايش قيمت هاي مجموعه سفير بسيار زياد و غير قابل قبول هستش.;sahand625
@smt_v10 راستش فعلا خبري در جهت كاهش قيمت به ما ابلاغ نشده;safirstores
@sahand625 دوست عزيز ما قيمت ها را بالا نبرديم;safirstores
@smt_v10 منظورتون از جاهاي ديگه كجاست كه مي فرماييد كاهش داشتند;safirstores
مثلا فروشگاه شقایق تو وزرا ، میتونین استعلام کنین;smt_v10
@sahand625 عوضش با خیال راحت جنس اصل رو خرید میکنین البته یه مقداریشم بخاطر خود برند سفیر هستش این بالا بودن قیمت;smt_v10
@smt_v10 از خيلي جاهاي ديگه ميشه با خيال راحت خريد كرد، برند سفير ؟؟؟منظورتون رو نميفهمم، سفير اسم مجموعه هستش !عرضه كننده !مشكل اين هست كه رقابت سالمي وجود نداره در اين كشور;sahand625
@safirstores سپاسگزارم !🙏😊;sahand625
@sahand625 بله دوست عزیز سفیر یک برند هستش یک برند فروشگاهی به زبان ساده;smt_v10
من رشت هستم و استند ایوسن لورن تو فروشگاه رشت نیست میشه من یه شماره از رژابتون رو سفارش بدم و بعد تو فروشگاه رشت تحویل بگیرم ؟ آخه شما خرید اینترنتی ندارید !!!;maanaa2014
@maanaa2014 بله عزيزم امكان ارسال به منزلتون هست. شما شماره و مدل رژلب رو با اطلاعاتتون براي ما دايركت كنيد و يا از طريق ايميل ارسال كنيد ما براي شما ارسال مي كنيم;safirstores
@maanaa2014 info@safirperfumery.com;safirstores
میشه لطفا آدرس ایمیلتون لطف کنید;maanaa2014
من شماره 04 پیور کوتور ایوسن لورن رو میخوام شنیدم شعبه پاساژ گلستان داره این رنگ رو;maanaa2014
@maanaa2014 عزیزم فردا موجودی رو چک می کنم و بهتون خبر میدم;safirstores
با سپاس از لطفتون 😊😊😊😊;maanaa2014
@maanaa2014 عزيزم اين شماره رو موجودي نداريم متاسفانه;safirstores
متشکرم از اینکه بررسی کردید;maanaa2014
@maralshafie25;nailazifarjad
سلام.لطفا ميشه اين متنو به تلگرامم بفرستين;amir_hoseinam
@amir_hoseinam ايميلتون رو بفرستين براتون ايميل كنيم;safirstores
Ahdiplomat@gmail.com;amir_hoseinam
@shivagoli89;sadegh.askari
@v___a____ عزيزم برند كلي استار در مشهد موجوده;safirstores
@missssh607;shadiabbasian
@sadegh.askari خیلی ممنون واقعا 😁😁😁;shivadorri
سلام ، من يك ماه پيش از سفير گلستان يه عطر خريدم كه مثلا ١٠٠ ميل بود و توش پيدا نبود و به اسم عطر دست ساز پاريسي !!!!! Alexanre.j ...در كمال ناباوري بعد يك ماه تموم شد !!!!! برا مجموعه سفير خيلي كار چيپ و زشتيه به نظرم ...;mandyghamari
@mandyghamari عزيزم سلام، من تا اونجايي كه متوجه شدم شما فكر مي كنيد كه شيشه عطر پر نبوده؟؟؟ محصولي كه خريداري گرديد سلفون داشته درسته؟؟؟;safirstores
نه سلفون نداشته و به اين عنوان سلفون نداشته كه گفتن اينا وكيوم نميشن چون دست سازن;mandyghamari
بعلاوه من چون كارت دارم تاريخ خريدم حتما معلومه ...;mandyghamari
من چطور ميتونم پيگيري كنم ؟;mandyghamari
چند تا ديگه هم اونجا بود كه سلفون نداشت !;mandyghamari
@mandyghamari عزيزم لطف مي كنيد با فاكتور به فروشگاه مراجعه كنيد;safirstores
@mandyghamari از كدوم شعبه خريد كرده بوديد؟;safirstores
فاكتور ندارم يا ندادن . اما گفتم كه سفير گلستان و كارت هم دارم;mandyghamari
قسمت فاكتور واقعا يادم نمياد ....;mandyghamari
ولي ميرم فروشگاه فردا ....;mandyghamari
@mandyghamari عزیزم رفتید فروشگاه؟;safirstores
بله رفتم و قرار بود تماس بگيرن امروز كه نگرفتن .;mandyghamari
@mandyghamari پيگيري مي كنم براتون;safirstores
@mandyghamari با مدير فروشگاه صحبت كرديم،ايشون فردا با شما تماس مي گيرن;safirstores
متشكرم از پاسخگوييتون ؛ و اعتماد سازيتون !;mandyghamari
@mandyghamari خواهش مي كنيم عزيزم، اميدوارم كه راضي باشيد;safirstores
